央视频道,#genre#
台球,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15090915512437000823.rsc/89020_Uni.sdp
武侠剧场,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15090915591653040173.rsc/89125_Uni.sdp
美人,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15090916040665863835.rsc/89085_Uni.sdp
鉴赏,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15090916075722072184.rsc/89011_Uni.sdp
国学,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15090916181970967371.rsc/89027_Uni.sdp
星影,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15090916302647677604.rsc/89071_Uni.sdp
早教,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch15090916274339587371.rsc/89045_Uni.sdp
家庭影院,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch15090916215642164569.rsc/89113_Uni.sdp
好学生,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15090916191459347432.rsc/89092_Uni.sdp
喜剧影院,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15090916165898699737.rsc/89005_Uni.sdp
动作影院,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15090916164124642866.rsc/89060_Uni.sdp
墨宝,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15090916235097407367.rsc/89043_Uni.sdp
光影,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15090916254772284807.rsc/89052_Uni.sdp
戏曲,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15090915581648434862.rsc/89124_Uni.sdp
爱生活,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch15090915560951747742.rsc/89131_Uni.sdp
解密,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15090915530786226072.rsc/89104_Uni.sdp
